flag,type,radius,x,y,vx,vy,nx,ny
0,0,1,-5,5,0,0,1,0
1,0,1,-4,5,0,0,1,0
2,0,1,-3,5,0,0,1,0
3,0,1,-2,5,0,0,1,0
4,0,1,-1,5,0,0,1,0
5,0,1,0,5,0,0,1,0
6,0,1,1,5,0,0,1,0
7,0,1,2,5,0,0,1,0
8,0,1,3,5,0,0,1,0
9,0,1,4,5,0,0,1,0
10,0,1,5,5,0,0,1,0
11,0,1,5,-5,0,0,1,0
12,0,1,5,-4,0,0,1,0
13,0,1,5,-3,0,0,1,0
14,0,1,5,-2,0,0,1,0
15,0,1,5,-1,0,0,1,0
16,0,1,5,0,0,0,1,0
17,0,1,5,1,0,0,1,0
18,0,1,5,2,0,0,1,0
19,0,1,5,3,0,0,1,0
20,0,1,5,4,0,0,1,0
21,0,1,5,5,0,0,1,0
22,0,1,-5,-5,0,0,1,0
23,0,1,-4,-5,0,0,1,0
24,0,1,-3,-5,0,0,1,0
25,0,1,-2,-5,0,0,1,0
26,0,1,-1,-5,0,0,1,0
27,0,1,0,-5,0,0,1,0
28,0,1,1,-5,0,0,1,0
29,0,1,2,-5,0,0,1,0
30,0,1,3,-5,0,0,1,0
31,0,1,4,-5,0,0,1,0
32,0,1,5,-5,0,0,1,0
33,0,1,-5,-5,0,0,1,0
34,0,1,-5,-4,0,0,1,0
35,0,1,-5,-3,0,0,1,0
36,0,1,-5,-2,0,0,1,0
37,0,1,-5,-1,0,0,1,0
38,0,1,-5,0,0,0,1,0
39,0,1,-5,1,0,0,1,0
40,0,1,-5,2,0,0,1,0
41,0,1,-5,3,0,0,1,0
42,0,1,-5,4,0,0,1,0
43,0,1,-5,5,0,0,1,0
44,1,0.96788323,3.1505082,0.49449357,0.79523874,0.072991047,0.10465759,0.99450831
45,1,1.0424056,-2.9920945,-3.0119061,0.32922338,0.046956285,-0.9143538,0.4049162
46,1,1.046261,0.48029399,3.0637087,0.95227316,0.34605014,0.35817004,0.93365637
47,1,0.99121082,3.1278068,-1.5738684,-0.29674016,-0.20465117,0.99876902,-0.049602861
48,1,1.0084616,-1.2450669,3.0707441,-0.31207756,0.21411804,0.90741312,0.42023972
49,1,1.0384703,2.9799345,2.0000861,-0.23857919,0.61053387,0.92394118,0.38253456
50,1,1.0069298,-3.053507,1.0330589,-0.0082876011,-0.41808206,-0.91153096,0.41123146
51,1,0.9705324,3.0692672,-0.61897076,0.018344792,-0.74105293,0.69701611,-0.71705547
52,1,1.0272109,-0.32420223,-2.7159015,-0.35255831,-0.1617085,0.37561356,-0.92677638
53,1,1.0063998,-0.59979634,-0.98164845,-0.97463233,0.42592535,0.80693331,-0.59064256
54,1,0.97662792,0.62058675,0.23736981,-1.2570928,0.45428078,-0.1818132,0.98333309
55,1,0.96098683,3.0612741,-3.1304456,0.0024551962,0.21640836,-0.89229529,-0.45145223
56,1,1.0499565,1.8399871,-2.117395,0.71596801,-0.68376318,0.98138699,-0.19204056
57,1,0.95467452,3.087292,3.1499062,-0.30489031,-0.081916039,-0.4238056,0.90575317
58,1,0.97427692,-3.1066998,-1.5350506,0.40046066,0.50604007,0.63065604,-0.77606247
59,1,0.99898403,1.0422592,-3.1059998,0.24180166,0.20510001,0.55145149,-0.83420696
60,1,0.95761294,-2.5031533,3.1414517,0.018939595,0.0036111511,0.99813383,-0.061064341
61,1,0.95978179,-3.1531019,2.505976,0.0039881741,0.006748737,-0.033799351,0.99942864
62,1,1.0371858,-1.6999204,1.4355129,0.076714546,-0.94562588,0.99693072,-0.078288789
63,1,1.0312398,0.98454381,1.6398352,0.28917967,-0.15196104,-0.98962513,-0.14367359
