flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.967883,22.617305,0.76455569,0.0099987589,0.00015754203,0.99987687,0.015692138
1,1,1.0424056,-26.393081,-24.877613,-0.0098314437,0.0018283092,-0.91849505,0.39543248
2,1,1.046261,-3.4686339,16.074495,-0.007084767,0.0070573421,-0.72602991,0.68766312
3,1,0.99121082,22.424656,-10.251787,0.0017600387,0.0098438947,-0.028612929,0.99959057
4,1,1.0084616,-11.1831,19.199196,-0.0067560639,-0.0073726251,-0.60347762,-0.79737994
5,1,1.0384703,27.873296,20.823071,0.0059878416,0.0080091044,0.58209384,0.81312161
6,1,1.0069298,-21.809111,13.343641,0.0091864516,-0.0039508362,0.87755259,-0.4794804
7,1,0.9705324,25.718332,0.97523084,-0.0084021707,-0.0054225019,-0.78927875,-0.61403506
8,1,1.0272109,8.5469312,-9.7821237,0.0093099721,-0.003650263,0.84177285,-0.53983189
9,1,1.0063998,-7.1518918,-7.2797274,-0.0071010723,0.0070409354,-0.70427527,0.709927
10,1,0.97662792,3.6775852,4.1127993,-5.410023e-05,-0.0099998537,-0.13897841,-0.99029541
11,1,0.96098683,17.627652,-22.231835,-8.4051321e-05,-0.0099996468,-0.032168459,-0.99948246
12,1,1.0499565,14.14363,-12.882168,-0.0099847447,0.00055215279,-0.94167152,-0.33653342
13,1,0.95467452,24.021209,28.106952,0.0096063721,-0.0027780597,0.95112016,-0.30882106
14,1,0.97427692,-27.288528,-17.272397,-0.0044170739,0.0089715917,-0.79341735,0.608678
15,1,0.99898403,11.545663,-19.621346,0.0057537195,-0.0081789188,0.41517451,-0.90974179
16,1,0.95761294,-23.275375,24.845661,-0.004809013,-0.0087677474,-0.41598282,-0.90937247
17,1,0.95978179,-27.549286,23.241701,-0.0097809644,0.0020815225,-0.97615519,0.21707383
18,1,1.0371858,-19.090874,18.469713,-0.0011598772,-0.0099325065,-0.18595592,-0.98255809
19,1,1.0312398,7.6232584,11.694707,0.0013573516,0.0099074516,-0.30512689,0.9523117
20,1,0.98688408,-0.35223828,-18.845588,0.0094680498,-0.0032180791,0.96995873,-0.24326953
21,1,0.9707368,6.429653,-2.2926274,0.0085782879,0.0051393556,0.86079788,0.50894696
22,1,0.99668659,-14.465639,0.32200999,0.0015293138,0.0098823681,0.14987677,0.98870468
23,1,1.0146192,-12.585744,28.344876,0.0030930939,0.0095096146,0.25854567,0.96599903
24,1,0.97374971,-9.2044191,-23.30333,-0.0016325492,0.0098658392,-0.16723179,0.98591761
25,1,1.0347672,28.198501,6.0929282,-0.00081342057,-0.0099668624,-0.17413652,-0.98472152
