flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.967883,22.621818,0.77948751,-0.0015922222,-0.0098724277,-0.45697943,-0.88947726
1,1,1.0424056,-26.401597,-24.8892,0.006251095,0.0078053707,0.58778677,0.80901589
2,1,1.046261,-3.4758826,16.086321,0.0079580009,-0.0060555942,0.81315288,-0.58205016
3,1,0.99121082,22.425669,-10.252523,-0.0070322592,0.0071096646,-0.6406263,0.76785281
4,1,1.0084616,-11.183049,19.199594,0.0096527423,0.0026123869,0.98269651,-0.18522302
5,1,1.0384703,27.869111,20.809153,0.0010552793,-0.0099441634,0.2644774,-0.96439188
6,1,1.0069298,-21.824071,13.34042,0.0078782091,0.0061590439,0.983508,0.18086465
7,1,0.9705324,25.725906,0.972431,0.0065572266,-0.0075500185,0.60946803,-0.79281065
8,1,1.0272109,8.5542521,-9.7700324,-0.0082723012,-0.0056186327,-0.69665138,-0.71740982
9,1,1.0063998,-7.1502723,-7.2662417,-0.007779964,0.0062826874,-0.8761832,0.48197821
10,1,0.97662792,3.6822841,4.1219108,0.0097480575,-0.0022305549,0.96662692,-0.25618821
11,1,0.96098683,17.634811,-22.228457,0.0071771561,-0.0069633634,0.630228,-0.77641012
12,1,1.0499565,14.137506,-12.887074,0.0065176298,0.0075842272,0.66710006,0.74496812
13,1,0.95467452,24.006352,28.098025,0.0017387302,0.0098476808,0.20203873,0.97937753
14,1,0.97427692,-27.281166,-17.284628,0.0084670252,0.0053206657,0.79904024,0.60127756
15,1,0.99898403,11.547544,-19.620097,-0.0093390769,0.0035751422,-0.87496705,0.48418247
16,1,0.95761294,-23.271739,24.86339,0.005513677,-0.0083426234,0.65920338,-0.7519647
17,1,0.95978179,-27.541027,23.24681,-0.0093434304,-0.0035637493,-0.88846855,-0.45893751
18,1,1.0371858,-19.089342,18.48282,0.001913449,-0.0098152286,0.26185007,-0.96510856
19,1,1.0312398,7.6210283,11.679433,0.0099977365,-0.00021275755,0.99417614,-0.10776739
20,1,0.98688408,-0.35919942,-18.843601,0.00072458713,-0.0099737141,0.24177784,-0.97033163
21,1,0.9707368,6.4229874,-2.2908558,-0.0097564305,-0.0021936419,-0.99795209,0.063965825
22,1,0.99668659,-14.476675,0.321358,0.009118516,-0.0041051998,0.71457502,-0.69955882
23,1,1.0146192,-12.569608,28.340778,-0.007448625,0.00667218,-0.66256134,0.74900765
