flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.967883,22.593,0.77360916,-0.0053982364,-0.0084177814,-0.58351719,-0.81210079
1,1,1.0424056,-26.413164,-24.862173,-0.0040699323,0.0091343117,-0.35918591,0.93326603
2,1,1.046261,-3.5070635,16.120254,-0.009998491,0.00017371618,-0.97503614,-0.22204621
3,1,0.99121082,22.375478,-10.200996,-0.0094085862,-0.0033879944,-0.93979337,-0.34174321
4,1,1.0084616,-10.992949,19.201737,-0.0045167832,-0.0089218087,-0.22645799,-0.97402093
5,1,1.0384703,27.906449,20.891003,0.00037144024,0.0099930992,-0.0070289464,0.9999753
6,1,1.0069298,-21.873596,13.383454,-0.0029616509,0.0095513677,-0.14891542,0.98884994
7,1,0.9705324,25.720919,0.970914,-0.0017200628,0.0098509585,-0.37395189,0.9274481
8,1,1.0272109,8.5362297,-9.7412102,0.0076680168,0.0064188409,0.80559824,0.59246221
9,1,1.0063998,-7.154097,-7.2852965,-0.0040331705,-0.009150603,-0.4406711,-0.89766864
10,1,0.97662792,3.6553776,4.1723579,0.0095408976,-0.0029952084,0.64196162,-0.76673677
11,1,0.96098683,17.574551,-22.328207,0.005391505,0.0084220944,0.5683532,0.82278469
12,1,1.0499565,14.077972,-12.916278,-0.001182504,-0.0099298381,0.28435059,-0.95872037
13,1,0.95467452,24.030831,28.127322,-0.008495058,0.0052757928,-0.70299639,0.71119342
14,1,0.97427692,-27.292471,-17.252257,0.0045523628,0.0089037067,0.25490396,0.96696638
15,1,0.99898403,11.48779,-19.657405,0.0064348959,-0.0076545487,0.69246975,-0.72144691
16,1,0.95761294,-23.313137,24.827837,-0.0073684067,-0.0067606644,-0.63370446,-0.77357525
17,1,0.95978179,-27.510767,23.2758,-0.0016635614,-0.0098606574,-0.029116262,-0.99957603
18,1,1.0371858,-19.166812,18.466149,-0.0088741355,0.0046097417,-0.82711939,0.56202626
19,1,1.0312398,7.6759302,11.645723,0.0094186022,-0.0033600494,0.88682677,-0.46210202
20,1,0.98688408,-0.39728633,-18.780845,-0.0061312897,0.0078998283,-0.55925758,0.82899394
21,1,0.9707368,6.4315818,-2.3107142,-0.0078231022,0.0062288901,-0.86079933,0.50894451
22,1,0.99668659,-14.464496,0.46047226,-0.0059638452,-0.0080269888,-0.86158762,-0.50760888
23,1,1.0146192,-12.468754,28.341697,-0.0065106397,0.0075902286,-0.6035176,0.79734967
