flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.081745,0.42504352,0.0050314293,0.0086420321,0.48130249,0.87655457
1,1,1.1272169,-12.926656,-12.112473,0.0097708175,-0.002128644,0.99259645,0.12145896
2,1,1.1387831,-1.7158812,7.9256864,-0.0054503923,0.0083841054,-0.43667332,0.89962015
3,1,0.97363246,11.045693,-5.0183153,4.6286729e-05,0.0099998929,-0.092069146,0.99575262
4,1,1.0253849,-5.4029214,9.4210768,-0.0030724295,0.0095163111,-0.21229545,0.97720553
5,1,1.1154108,13.847497,10.28559,0.0098257749,0.0018585336,0.99415337,0.10797718
6,1,1.0207894,-10.716422,6.6101645,-0.0059204671,-0.0080590365,-0.58599866,-0.81031202
7,1,0.9115972,12.691237,0.35036849,-0.0059647923,0.0080262851,-0.54332997,0.83951923
8,1,1.0816327,4.1652103,-4.7617211,0.005964795,0.0080262831,0.37797176,0.92581712
9,1,1.0191993,-3.5266252,-3.5573391,-0.0045303038,0.0089149508,0.12452833,0.99221605
10,1,0.92988376,1.7514498,2.0691496,-0.0099563415,0.00093341562,-0.98700229,0.16070619
11,1,0.8829605,8.7021661,-10.946509,0.0041290099,0.0091077592,-0.064882525,0.99789291
12,1,1.1498694,6.8658949,-6.3879911,0.0098795605,-0.0015473472,0.8736585,-0.48653965
13,1,0.86402355,11.825003,13.790197,0.0065249871,0.0075778983,0.58325885,0.81228635
14,1,0.92283075,-13.371147,-8.5158531,0.0097726559,0.002120188,0.97587696,0.21832124
15,1,0.99695209,5.6415541,-9.6348718,1.5301838e-05,-0.0099999883,-0.28788508,-0.95766496
16,1,0.87283883,-11.391669,12.152305,-0.004390327,0.0089847109,-0.31117299,0.95035329
17,1,0.87934537,-13.627676,11.449193,-0.00073997274,-0.0099725844,0.16776398,-0.98582719
18,1,1.1115574,-9.4903732,9.0815794,-0.0047805579,-0.0087832947,-0.51299712,-0.85839033
19,1,1.0937195,3.8014819,5.7409185,-0.0070165694,-0.0071251494,-0.87160869,-0.4902023
