flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.116387,0.39335675,0.008182404,-0.005748762,0.65483864,-0.75576872
1,1,1.1272169,-12.872429,-12.139033,-0.0014263431,-0.0098977546,-0.23733085,-0.97142888
2,1,1.1387831,-1.6890213,7.8989964,-0.004171054,0.0090885812,-0.41804869,0.90842462
3,1,0.97363246,10.99092,-5.0719864,0.0092865419,0.0037094662,0.88043006,0.47417604
4,1,1.0253849,-5.4114861,9.4375771,-0.0076931219,-0.0063887303,-0.76546061,-0.64348276
5,1,1.1154108,13.882278,10.313016,0.0094701656,0.0032118474,0.98701987,0.16059818
6,1,1.0207894,-10.644726,6.6336293,-0.0028476661,0.0095859688,-0.25319902,0.96741421
7,1,0.9115972,12.709652,0.35215193,0.0095695234,-0.0029024509,0.91862357,-0.39513382
8,1,1.0816327,4.0949253,-4.7775417,0.0099381172,0.0011107772,0.99981353,0.019310659
9,1,1.0191993,-3.5229033,-3.567286,-0.0051377399,-0.0085792558,-0.57642195,-0.81715221
10,1,0.92988376,1.7581693,2.087742,0.0061126187,-0.0079142841,0.60228597,-0.79828041
11,1,0.8829605,8.667491,-10.905477,-0.0074867453,0.0066293774,-0.97868558,0.20536442
12,1,1.1498694,6.8052299,-6.4404129,0.0052445307,-0.0085143936,0.28539075,-0.95841125
13,1,0.86402355,11.850281,13.800477,0.00032769842,0.0099946292,0.5166702,0.85618451
14,1,0.92283075,-13.445702,-8.597711,0.0088827223,0.0045931737,0.79383848,0.60812866
15,1,0.99695209,5.6302942,-9.6449796,0.0073862888,-0.0067411228,0.79537218,-0.60612135
16,1,0.87283883,-11.41273,12.214913,0.0016332248,-0.0098657274,-0.123309,-0.99236832
17,1,0.87934537,-13.61046,11.41205,-0.001702925,-0.0098539356,0.16819485,-0.98575377
18,1,1.1115574,-9.5055859,9.0453422,-0.0098040665,-0.0019698427,-0.83361768,-0.55234189
19,1,1.0937195,3.819381,5.7889215,0.0034606366,0.0093821103,0.44150722,0.8972577
