flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.112504,0.43308271,-0.0040882347,-0.0091261348,-0.34097219,-0.94007338
1,1,1.1272169,-12.876213,-12.131427,0.0031365517,-0.0094953696,0.052919248,-0.99859879
2,1,1.1387831,-1.7002427,7.8996286,0.0081702159,0.0057660708,0.81634461,0.57756513
3,1,0.97363246,11.056975,-5.0335502,-0.0094844464,-0.0031694284,-0.96513099,-0.26176739
4,1,1.0253849,-5.4191707,9.4317648,0.0072301607,0.0069083121,0.74341606,0.66882924
5,1,1.1154108,13.845582,10.271721,2.062893e-05,-0.0099999787,-0.099716225,-0.99501592
6,1,1.0207894,-10.715472,6.5881645,0.0083309733,-0.0055312642,0.89443893,-0.44719011
7,1,0.9115972,12.698946,0.35137144,0.0046288498,0.0088641835,0.31830614,0.94798798
8,1,1.0816327,4.1340623,-4.7736329,-0.0067734812,-0.0073566264,-0.53484388,-0.8449509
9,1,1.0191993,-3.5394299,-3.5528941,-5.8641073e-05,0.0099998281,-0.23409488,0.97221376
10,1,0.92988376,1.7392155,2.0858957,-0.00018516327,0.0099982856,0.18640665,0.98247268
11,1,0.8829605,8.6640085,-10.927828,-0.0078855717,-0.0061496146,-0.97634945,-0.21619839
12,1,1.1498694,6.8608047,-6.403549,0.0097349096,-0.0022872549,0.92684212,-0.3754513
13,1,0.86402355,11.838842,13.787108,-0.0017102948,-0.0098526591,-0.18050286,-0.98357446
14,1,0.92283075,-13.369626,-8.5613733,-0.0098713548,0.0015988603,-0.9402113,0.3405917
15,1,0.99695209,5.6393713,-9.6328283,-0.0058349932,-0.0081211363,-0.2628227,-0.96484415
16,1,0.87283883,-11.374769,12.144342,0.0029506884,0.00955476,0.17940999,0.98377439
17,1,0.87934537,-13.634336,11.420312,0.0090443351,-0.004266146,0.7874817,-0.61633804
18,1,1.1115574,-9.494517,9.0857113,-0.0072274328,-0.006911166,-0.7552727,-0.65541067
19,1,1.0937195,3.7967449,5.7638851,-0.0099954512,-0.00030158823,-0.98444701,-0.17568178
