flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.079709,0.40967252,-0.0075956693,0.0065042915,-0.78338675,0.62153455
1,1,1.1272169,-12.927419,-12.115582,0.0098252042,0.0018615484,0.99987792,-0.015625127
2,1,1.1387831,-1.7028219,7.983431,0.0031685313,-0.0094847461,0.07028419,-0.99752701
3,1,0.97363246,11.008107,-4.9632236,0.0089776452,0.0044047573,0.81885958,0.57399389
4,1,1.0253849,-5.4082342,9.4872767,-0.0096500559,0.0026222931,-0.92989851,0.36781621
5,1,1.1154108,13.681927,10.287829,0.0057918658,-0.0081519501,0.77559926,-0.63122563
6,1,1.0207894,-10.793012,6.5848122,0.0050645158,-0.008622684,0.47389469,-0.88058152
7,1,0.9115972,12.669445,0.41817679,0.0088091425,-0.0047327591,0.8861362,-0.46342489
8,1,1.0816327,4.1292884,-4.727713,-0.0068941529,-0.0072436631,-0.74775213,-0.66397798
9,1,1.0191993,-3.5443829,-3.6041931,-0.0080233514,0.0059687379,-0.82829991,0.56028498
10,1,0.92988376,1.7775985,2.0289965,0.0036092271,0.0093259573,0.55892447,0.82921857
11,1,0.8829605,8.6766285,-10.916941,0.0099237195,0.0012327981,0.99797651,0.063583721
12,1,1.1498694,6.908319,-6.3510047,-0.0017191661,0.0098511151,-0.4082772,0.912858
13,1,0.86402355,11.830354,13.783626,-0.0075570708,0.0065490977,-0.87403022,0.48587155
14,1,0.92283075,-13.404267,-8.5245379,-0.0027034288,0.0096276411,-0.055883255,0.99843731
15,1,0.99695209,5.6655614,-9.7077029,-0.0098334067,-0.0018177217,-0.92374858,-0.38299943
16,1,0.87283883,-11.44619,12.207948,0.0081060914,0.0058558758,0.94940578,0.31405201
17,1,0.87934537,-13.547555,11.476318,0.0014334697,-0.0098967249,-0.32833132,-0.94456262
18,1,1.1115574,-9.4486354,9.0459923,-0.0097966254,-0.0020065219,-0.93150018,-0.36374087
19,1,1.0937195,3.7894479,5.7209892,0.0026381683,0.009645728,0.29850179,0.95440907
