flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.063491,0.41431188,0.0060850705,-0.0079354847,0.65602162,-0.7547421
1,1,1.1272169,-12.944628,-12.124074,-0.0094626169,-0.0032340195,-0.97014469,-0.24252687
2,1,1.1387831,-1.7228509,7.9281137,-0.0019565335,-0.0098067312,-0.38516315,-0.9228485
3,1,0.97363246,10.986174,-5.0197076,0.0089740802,-0.004412016,0.79777771,-0.60295168
4,1,1.0253849,-5.3960039,9.4291823,-0.0038512977,-0.0092286243,-0.46948695,-0.88293941
5,1,1.1154108,13.767029,10.287152,-0.00046158726,-0.0099893412,0.22696286,-0.97390341
6,1,1.0207894,-10.750426,6.5998404,0.0021993649,0.0097551419,-0.085085861,0.99637362
7,1,0.9115972,12.654114,0.3864292,0.0095516218,-0.0029608311,0.97405733,-0.2263014
8,1,1.0816327,4.1620268,-4.7983891,-0.0017283819,0.0098495023,-0.2694731,0.96300792
9,1,1.0191993,-3.5153819,-3.5533987,0.0052933508,0.0084841286,0.62901805,0.77739069
10,1,0.92988376,1.7420676,2.0413701,-0.0091954667,-0.0039298081,-0.87397209,-0.48597612
11,1,0.8829605,8.7076675,-10.9536,-0.0025827815,0.009660706,-0.43035457,0.90265993
12,1,1.1498694,6.8835329,-6.3656308,0.0087228807,-0.0048899236,0.90982894,-0.4149835
13,1,0.86402355,11.820035,13.812785,0.0081052374,-0.0058570578,0.85442445,-0.51957565
14,1,0.92283075,-13.365216,-8.507793,-0.0085090077,-0.0052532646,-0.92326449,-0.3841649
15,1,0.99695209,5.6162507,-9.6450986,-0.0034864823,0.0093725365,-0.49626001,0.86817395
16,1,0.87283883,-11.382266,12.18466,-0.0059899765,0.0080075078,-0.62513261,0.78051856
17,1,0.87934537,-13.576911,11.496338,-0.0099148569,0.001302157,-0.97120573,-0.23824238
18,1,1.1115574,-9.4619611,9.0539557,-0.004939262,0.0086950383,-0.48860291,0.87250627
19,1,1.0937195,3.8183496,5.7719793,0.0093887034,0.0034427093,0.95063797,0.31030219
