flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.088543,0.42474392,0.004444029,0.0089582703,0.31779411,0.94815975
1,1,1.1272169,-12.945407,-12.108206,-0.0083515753,-0.0055001082,-0.89282739,-0.450399
2,1,1.1387831,-1.7199961,7.9343919,0.0099058129,-0.0013692593,0.97738361,-0.21147406
3,1,0.97363246,11.009207,-5.0126478,0.0052166431,-0.0085315083,0.35813948,-0.9336681
4,1,1.0253849,-5.3984621,9.4053356,0.0071824105,0.0069579436,0.60124191,0.79906706
5,1,1.1154108,13.791586,10.27605,0.006846716,-0.007288517,0.65955301,-0.75165805
6,1,1.0207894,-10.734489,6.6006599,0.0078964558,0.0061356325,0.66751065,0.74460025
7,1,0.9115972,12.675371,0.39490825,-0.0088394464,-0.0046759156,-0.8846938,-0.46617259
8,1,1.0816327,4.1717868,-4.782199,-0.0099959659,0.0002840162,-0.99982411,0.0187548
9,1,1.0191993,-3.5269602,-3.540961,0.0043647086,-0.0089971839,0.29910113,-0.95422142
10,1,0.92988376,1.7226795,2.0567653,-0.0052641398,0.008502284,-0.24446738,0.96965752
11,1,0.8829605,8.7137727,-10.938643,0.0080725577,-0.0059020177,0.57683631,-0.81685976
12,1,1.1498694,6.890654,-6.3908669,-0.0099242093,0.0012288486,-0.90160523,0.43255983
13,1,0.86402355,11.828426,13.831323,0.0095136213,0.0030807483,0.98277453,0.18480861
14,1,0.92283075,-13.386104,-8.5094992,-0.0099894758,0.00045866426,-0.99902186,0.044218993
15,1,0.99695209,5.5954717,-9.6338482,-0.0067257244,0.0074003129,-0.2924453,0.95628225
16,1,0.87283883,-11.387384,12.174715,0.0083215538,-0.0055454253,0.88773284,-0.46035899
17,1,0.87934537,-13.58811,11.487877,0.0074537789,0.0066664218,0.83258637,0.55389524
18,1,1.1115574,-9.4942681,9.0665114,-0.0099996615,-8.2281967e-05,-0.99852272,-0.054335824
19,1,1.0937195,3.8104583,5.765807,-0.0098330775,0.0018195019,-0.94579508,0.32476402
