flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.090099,0.39731473,0.0035912437,0.0093328971,0.28963169,0.95713817
1,1,1.1272169,-12.951851,-12.154628,0.0012692538,0.0099191227,0.24530279,0.96944651
2,1,1.1387831,-1.6971086,7.9844442,0.0041059106,0.009118196,0.12338335,0.99235908
3,1,0.97363246,10.999041,-4.98445,-0.0072248521,0.0069138638,-0.71090957,0.70328343
4,1,1.0253849,-5.4060611,9.4719305,-0.0099467611,0.0010305069,-0.91601131,0.40115243
5,1,1.1154108,13.684209,10.296679,-0.0091915026,-0.0039390709,-0.97131347,-0.23780274
6,1,1.0207894,-10.780221,6.6024748,-0.0098369261,0.0017985788,-0.98874777,0.14959225
7,1,0.9115972,12.645727,0.40890215,0.0071969577,-0.0069428956,0.71816985,-0.69586785
8,1,1.0816327,4.1418173,-4.7682298,0.0020973927,0.0097775735,0.34923347,0.93703574
9,1,1.0191993,-3.519753,-3.5737975,0.0030950306,-0.0095089845,0.27803158,-0.96057194
10,1,0.92988376,1.7846971,2.052563,-0.0037998582,-0.0092499231,-0.42840452,-0.90358706
11,1,0.8829605,8.653444,-10.923877,0.0096796695,0.0025107763,0.99912095,0.041920481
12,1,1.1498694,6.9250049,-6.3338831,0.00581139,-0.0081380432,0.49691137,-0.8678013
13,1,0.86402355,11.814688,13.776666,0.0022698044,-0.0097389932,0.24779529,-0.96881241
14,1,0.92283075,-13.434227,-8.5146783,-0.0053510603,-0.008447849,-0.6124056,-0.79054372
15,1,0.99695209,5.6592412,-9.6770828,-0.0047162405,-0.0088179972,-0.38403821,-0.9233172
16,1,0.87283883,-11.465839,12.213653,0.0099277581,0.0011998411,0.99192627,0.12681592
17,1,0.87934537,-13.546722,11.498411,0.0091414802,-0.0040538056,0.90550638,-0.42433264
18,1,1.1115574,-9.4290588,9.0770646,-0.0095896846,0.0028351276,-0.99303597,0.11781159
19,1,1.0937195,3.7825832,5.6928898,0.0063063411,-0.0077608029,0.66085517,-0.75051345
