flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.084691,0.42157148,-0.0042655838,-0.0090446003,-0.15965014,-0.98717366
1,1,1.1272169,-12.885978,-12.14205,0.0099942706,-0.00033846089,0.99280815,0.1197162
2,1,1.1387831,-1.6889158,7.8991033,0.0099572574,-0.00092359347,0.90832058,-0.41827471
3,1,0.97363246,11.069937,-5.0422817,0.0053645042,-0.0084393184,0.29155915,-0.9565528
4,1,1.0253849,-5.4149063,9.4317793,0.0049609772,0.0086826669,0.51102247,0.85956735
5,1,1.1154108,13.833016,10.298525,-0.0074029118,0.0067228637,-0.68079718,0.73247198
6,1,1.0207894,-10.71295,6.586845,-0.0070962057,0.0070458402,-0.68812605,0.72559116
7,1,0.9115972,12.709107,0.36514076,0.0011466153,0.0099340462,0.51194947,0.85901557
8,1,1.0816327,4.1369297,-4.8037826,-0.0025899491,-0.0096587869,-0.28998237,-0.95703199
9,1,1.0191993,-3.5435091,-3.546969,0.0037491818,-0.009270579,0.33316626,-0.94286809
10,1,0.92988376,1.7590826,2.0750854,0.0081600331,0.0057804722,0.87672495,0.48099207
11,1,0.8829605,8.6672289,-10.933202,0.0099270864,0.0012053865,0.9943341,0.10630007
12,1,1.1498694,6.8452224,-6.4130303,-0.0032616588,0.0094531255,-0.60423563,0.79680569
13,1,0.86402355,11.847626,13.772361,-0.0057116684,0.0082083399,-0.69376357,0.72020282
14,1,0.92283075,-13.378109,-8.5663092,-0.0097049474,-0.0024112231,-0.99804548,-0.062491749
15,1,0.99695209,5.6428145,-9.6566853,0.0079485139,-0.0060680414,0.62504407,-0.78058947
16,1,0.87283883,-11.400627,12.156154,-0.0040566455,0.0091402203,-0.79301239,0.60920551
17,1,0.87934537,-13.643988,11.403225,-0.0082155855,-0.0057012415,-0.8407274,-0.54145862
18,1,1.1115574,-9.496393,9.0665788,0.0060209218,0.0079842658,0.26789598,0.96344784
19,1,1.0937195,3.7772399,5.7627409,0.0052826641,-0.0084907868,0.75481832,-0.65593392
