flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.070412,0.38546873,-0.0099994499,-0.00010489292,-0.99972226,0.023566807
1,1,1.1272169,-12.950893,-12.181976,0.0039140883,0.0092021689,0.51238534,0.85875565
2,1,1.1387831,-1.7042716,7.9865747,0.0094401627,-0.0032989891,0.95927099,-0.28248745
3,1,0.97363246,11.003931,-4.976821,-0.0026897135,0.0096314818,-0.34152012,0.93987446
4,1,1.0253849,-5.3977707,9.4550634,-0.0099480268,-0.0010182153,-0.99975465,-0.022150473
5,1,1.1154108,13.690491,10.295757,-0.00075136727,-0.0099717324,-0.233563,-0.97234167
6,1,1.0207894,-10.77048,6.5897585,-0.0075163754,0.0065957639,-0.94122708,0.33777447
7,1,0.9115972,12.626555,0.42796812,0.008856452,0.0046436254,0.89000461,0.45595153
8,1,1.0816327,4.1562443,-4.7834189,-0.0085555573,0.0051771072,-0.63961163,0.76869823
9,1,1.0191993,-3.5144305,-3.5813511,-0.0075897027,0.0065112528,-0.63858257,0.76955332
10,1,0.92988376,1.79849,2.0627494,-0.0019211213,0.0098137298,-0.1944898,0.98090454
11,1,0.8829605,8.6505536,-10.922253,0.009084605,0.0041797073,0.94696641,0.32133257
12,1,1.1498694,6.9411316,-6.3379166,-0.008261902,-0.0056339129,-0.8143863,-0.58032315
13,1,0.86402355,11.817562,13.796944,0.0046831485,-0.0088356166,0.44862755,-0.89371882
14,1,0.92283075,-13.41325,-8.4959681,-0.0097119308,0.0023829395,-0.98590221,0.16732256
15,1,0.99695209,5.6829383,-9.6607418,-0.00046016425,0.0099894068,-0.22069153,0.97534366
16,1,0.87283883,-11.459778,12.188635,0.004553915,0.0089029129,0.25033157,0.96816017
17,1,0.87934537,-13.544575,11.478622,-4.1106354e-05,-0.0099999155,-0.0057840178,-0.99998327
18,1,1.1115574,-9.4370363,9.0664632,-0.0076417983,-0.0064500325,-0.69275495,-0.72117306
19,1,1.0937195,3.7652917,5.7171077,0.0065664576,-0.0075419914,0.60861912,-0.79346251
