flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.107902,0.38281424,0.0096332408,-0.0026834069,0.93438092,-0.3562756
1,1,1.1272169,-12.857654,-12.148805,0.009208254,-0.0038997511,0.94015227,-0.34075462
2,1,1.1387831,-1.6585553,7.9026202,-0.0096179226,0.0027378029,-0.95682846,0.29065324
3,1,0.97363246,11.009524,-5.0617351,-0.0051291118,0.0085844168,-0.48613063,0.87388615
4,1,1.0253849,-5.4085863,9.4297138,-0.0091839627,-0.0039566183,-0.83572689,-0.5491453
5,1,1.1154108,13.861054,10.311667,0.0073840734,-0.0067435495,0.60144859,-0.79891151
6,1,1.0207894,-10.649657,6.6097109,0.0095634505,0.0029223989,0.94099015,0.33843395
7,1,0.9115972,12.706686,0.35203566,-0.0033017583,0.0094391945,-0.45695547,0.88948957
8,1,1.0816327,4.1013155,-4.8017831,0.0067545592,0.0073740037,0.6373973,0.77053532
9,1,1.0191993,-3.53284,-3.5609831,0.0057170315,0.0082046055,0.48576779,0.8740879
10,1,0.92988376,1.755614,2.0963237,-0.0093746806,0.003480713,-0.99596546,-0.089737432
11,1,0.8829605,8.6993959,-10.907913,0.0036524167,0.0093091273,0.39514491,0.9186188
12,1,1.1498694,6.8175792,-6.4188884,-0.0099764425,-0.0006859994,-0.99907594,-0.042979896
13,1,0.86402355,11.8614,13.819494,0.0013282495,-0.0099113951,0.13477335,-0.99087645
14,1,0.92283075,-13.419046,-8.5939386,-0.0081154514,-0.0058428973,-0.67781279,-0.73523453
15,1,0.99695209,5.6343217,-9.6567117,-0.0076075617,0.0064903779,-0.46023367,0.88779782
16,1,0.87283883,-11.409433,12.213439,-0.0099984026,0.00017873088,-0.99000832,-0.14100894
17,1,0.87934537,-13.602908,11.408688,0.0080904951,-0.0058774049,0.61066983,-0.79188532
18,1,1.1115574,-9.4981177,9.0422603,0.0094815411,0.0031781093,0.94895042,0.31542527
19,1,1.0937195,3.8111033,5.7651547,-0.0077102538,-0.0063680442,-0.758912,-0.6511932
