flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.093585,0.40394098,-0.0039504157,-0.0091866324,-0.14670692,-0.98918
1,1,1.1272169,-12.868216,-12.141632,0.0087505811,0.0048401788,0.7611366,0.64859161
2,1,1.1387831,-1.6747137,7.8926263,0.0095205875,-0.0030591525,0.98662485,-0.16300736
3,1,0.97363246,11.049269,-5.0530726,-0.0084504722,-0.0053469169,-0.99047438,-0.13769718
4,1,1.0253849,-5.4176504,9.4410706,-0.0069873265,0.0071538289,-0.70765357,0.70655957
5,1,1.1154108,13.847747,10.288456,-0.0062596451,-0.0077985155,-0.75391216,-0.65697523
6,1,1.0207894,-10.692336,6.602126,0.0072064478,0.0069330448,0.61820238,0.78601897
7,1,0.9115972,12.698272,0.34852548,0.0099981669,-0.00019146575,0.98718787,-0.15956227
8,1,1.0816327,4.1297932,-4.8008303,0.0084700349,-0.0053158733,0.89966443,-0.43658208
9,1,1.0191993,-3.5454043,-3.550388,-0.0024819624,-0.0096870977,-0.4772313,-0.87877772
10,1,0.92988376,1.7640052,2.0972449,0.002849016,0.0095855677,0.13789907,0.99044629
11,1,0.8829605,8.6847897,-10.936126,-0.001994452,0.0097990898,-0.34782364,0.93755998
12,1,1.1498694,6.8295824,-6.4232584,-0.0046385098,-0.0088591324,-0.57922346,-0.8151688
13,1,0.86402355,11.863722,13.810956,0.00017796665,0.0099984163,0.0039507469,0.9999922
14,1,0.92283075,-13.406956,-8.5828301,-0.0087278565,-0.0048810368,-0.811301,-0.58462868
15,1,0.99695209,5.6329336,-9.6783934,0.0043955343,0.0089821645,0.42094401,0.90708662
16,1,0.87283883,-11.396558,12.191829,-0.0041706771,0.0090887542,-0.25625676,0.96660875
17,1,0.87934537,-13.647708,11.395293,-0.0088727569,0.0046123947,-0.8410422,0.54096952
18,1,1.1115574,-9.5105102,9.0779817,0.0063696422,-0.0077089336,0.63465713,-0.77279384
19,1,1.0937195,3.7960763,5.7544542,0.00063800121,-0.009979627,0.24997046,-0.96825346
