flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.02187,0.41754139,0.0013926019,0.0099025583,0.16180948,0.98682202
1,1,1.1272169,-12.941286,-12.103265,0.0035939291,0.0093318633,0.79285772,0.6094068
2,1,1.1387831,-1.7289909,7.9532574,-0.0048918923,-0.0087217768,-0.64796198,-0.76167268
3,1,0.97363246,11.01364,-4.9941472,-0.0095598072,0.0029342949,-0.92106286,0.38941393
4,1,1.0253849,-5.4258887,9.4532319,0.0056446151,0.0082545939,0.10073405,0.99491339
5,1,1.1154108,13.748015,10.297074,0.0037624867,0.0092651872,0.46686072,0.88433086
6,1,1.0207894,-10.76894,6.5742698,0.009998446,0.00017628919,0.99923633,0.039073723
7,1,0.9115972,12.672941,0.38268807,-0.0048956605,-0.0087196622,-0.30340425,-0.95286193
8,1,1.0816327,4.1734774,-4.7936479,-0.0077516345,-0.0063176074,-0.740274,-0.67230529
9,1,1.0191993,-3.512651,-3.5768475,0.00033308896,0.009994451,-0.24506154,0.96950753
10,1,0.92988376,1.7600189,2.0609581,0.00557514,0.0083016754,0.87713074,0.48025167
11,1,0.8829605,8.6600445,-10.958057,-0.0079712659,0.0060381223,-0.66029726,0.75100435
12,1,1.1498694,6.9172894,-6.3376881,-0.0099390596,0.0011023135,-0.99068874,-0.1361463
13,1,0.86402355,11.814801,13.789922,-0.0077570352,0.006310975,-0.57883948,0.81544151
14,1,0.92283075,-13.353927,-8.5129672,0.005859375,-0.0081035625,0.56886872,-0.82242834
15,1,0.99695209,5.6124169,-9.6823182,-0.0091256897,0.0040892282,-0.91894474,0.39438631
16,1,0.87283883,-11.431425,12.199774,-0.0018600158,-0.0098254944,0.47483611,-0.88007424
17,1,0.87934537,-13.548004,11.492073,-0.009079663,0.0041904319,-0.84420883,0.53601442
18,1,1.1115574,-9.4492956,9.0563734,-0.0080326576,0.0059562079,-0.80348133,0.59532996
19,1,1.0937195,3.8108446,5.7623091,0.0022233358,0.0097497066,0.13359795,0.99103561
