flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.967883,2.3106001,0.60808953,-0.026322143,-0.013177644,-0.20290556,0.97919831
1,1,1.0424056,-5.460169,-6.3858376,0.0039393303,-0.016721849,0.99468437,0.10297085
2,1,1.046261,-0.63350153,2.0866278,0.0023725779,0.0081916688,-0.25772051,-0.96621951
3,1,0.99121082,7.155996,-4.5711613,0.05171242,-0.01548228,0.97315473,-0.23015182
4,1,1.0084616,0.58644278,7.7248761,0.021502159,0.0042537751,0.29207201,-0.95639633
5,1,1.0384703,5.2442056,1.9559763,0.024329546,-0.018738925,0.79765055,0.60311989
6,1,1.0069298,-3.1991301,1.4932661,0.0016705268,0.0061929171,-0.19998173,0.97979963
7,1,0.9705324,6.4441156,0.50417896,-0.0018041013,-0.037332426,-0.6013172,-0.7990104
8,1,1.0272109,0.72837793,-2.8428013,-0.034050119,-0.01954492,-0.33650368,-0.94168215
9,1,1.0063998,-2.3280255,-1.4615234,-0.018529267,0.012013371,0.11697438,0.99313493
10,1,0.97662792,0.43758392,0.51035246,-0.029675406,-0.0063101134,-0.54535578,0.83820467
11,1,0.96098683,2.5768849,-3.1297749,-0.022482321,0.020260465,-0.35970245,0.93306706
12,1,1.0499565,3.3106435,-1.3178218,-0.037677875,0.044983164,0.66792734,0.74422649
13,1,0.95467452,3.9200226,5.2993738,-0.084921115,0.053402349,-0.65964546,0.75157692
14,1,0.97427692,-9.5579688,-1.8670457,-0.022551934,0.035985002,0.76096671,0.64879092
15,1,0.99898403,1.19527,-4.7733097,0.03283936,-0.0055218366,0.97303307,0.23066564
16,1,0.95761294,-4.4671787,5.7734346,-0.030249556,-0.070573956,0.39630945,-0.918117
17,1,0.95978179,-5.6741998,4.3247986,-0.009679727,-0.047258064,0.86726324,-0.49784985
18,1,1.0371858,-4.9834309,2.4566883,-0.0098616749,-0.02976161,-0.86780803,-0.49689961
19,1,1.0312398,1.3718583,2.3606202,0.0046089795,0.0027337084,-0.53897286,-0.84232313
20,1,0.99929568,-1.5912693,0.34280191,-0.007607525,0.0093733501,-0.90109452,0.43362272
21,1,1.0109345,-6.0550045,-1.0380271,-0.010132745,0.0069824797,0.38154884,0.92434868
22,1,0.97558456,-3.5909404,-7.008515,-0.0018167566,-0.002894601,0.21733217,0.9760977
23,1,0.97894475,3.3354759,2.1599594,0.016451968,-0.062066067,0.89145047,0.45311815
24,1,0.98438329,-2.3691657,-8.8732913,-0.018179407,0.18791804,-0.8928862,0.4502824
25,1,1.0478007,8.4389796,-6.219263,0.053440993,-0.032445929,-0.19283633,0.98123094
26,1,0.99029578,2.9766028,3.9127046,-0.005156645,-0.084204133,0.26934946,0.9630425
27,1,1.0255129,-4.2329613,-1.8099229,-0.015934857,0.016686057,0.4234796,0.90590564
28,1,0.99093793,-3.8363821,4.0664876,-0.0077634318,-0.039064446,-0.62891801,-0.77747163
29,1,0.98945497,-0.57290313,4.0669169,-0.0075639811,0.026293478,0.89786082,0.4402794
30,1,1.0324303,4.2254443,0.39629553,-0.019817577,-0.018652747,-0.38769423,-0.92178803
31,1,0.98641961,-5.7637138,-2.9869541,-0.0086439073,-0.0041279139,-0.13500682,-0.99084467
32,1,0.96224107,-3.0105423,7.7082125,0.20255186,0.39528297,-0.278806,0.96034744
33,1,1.0482294,-2.1957642,5.220645,-0.016594912,0.024088335,0.82310859,0.56788401
34,1,0.99256675,3.1758663,-4.8842589,0.010489275,0.024117888,0.75939467,-0.65063026
35,1,1.0031285,-4.6091694,-4.5535762,-0.011567906,-0.0019155677,-0.99259804,-0.12144602
36,1,0.96424345,-1.7174838,-6.7636924,0.0041071722,-0.0050613637,0.0055756121,-0.99998446
37,1,0.97698043,8.2944325,0.10698444,-0.0073667376,-0.0041515889,-0.8148934,0.57961085
38,1,0.96894309,-7.6450242,-2.7080571,0.0010252575,0.024569346,-0.80569545,0.59233001
39,1,1.0273204,0.24472797,9.724678,-0.075800415,-0.044566792,-0.93294504,-0.36001883
40,1,0.96148565,1.4537548,-1.0599972,-0.027313109,-0.011737134,0.38739544,0.92191365
41,1,1.0327102,-10.253404,1.6744912,-0.010629656,-0.01223955,0.99585486,-0.090956566
42,1,1.002963,-11.19907,-7.6940775,-0.01847815,0.002368192,-0.88109649,0.47293655
43,1,0.97858446,5.6298443,8.1764914,0.0031665031,0.17595802,-0.11833448,-0.99297379
44,1,0.97221952,1.3680102,-7.8535907,1.510569e-05,-0.02035277,0.0036139534,-0.99999347
45,1,1.0045517,5.3205129,-1.202699,0.012492561,0.039672785,0.81072597,0.58542583
46,1,0.967105,6.8073501,2.9276433,0.021688115,-0.0029035876,-0.068458152,0.99765399
47,1,1.0193432,-8.2880683,1.1250722,-0.013125906,0.0086001681,0.072773641,-0.99734848
48,1,1.0427845,5.0017849,3.8215285,-0.0062053039,0.015662292,0.99907826,0.042925826
49,1,0.98195064,-0.4146212,-1.2184427,-0.015813455,-0.012637366,-0.56396372,-0.82579957
50,1,0.96729188,2.649147,-6.6548971,-0.0027114256,0.035127449,-0.16091423,0.98696839
51,1,1.0073164,9.7259726,-1.1684939,0.036958346,0.0083350407,0.99980981,0.019502233
52,1,0.96008403,6.6987742,4.6699211,0.015360646,0.01185144,0.64588456,-0.76343509
53,1,0.98341422,-7.9761875,-0.80967163,-0.0095359188,0.010042461,0.43173317,-0.90200137
54,1,0.99866684,-2.7877346,-5.2360148,-0.0035872878,0.003215962,0.91835038,0.39576833
55,1,1.0051716,8.3484092,1.9600026,0.049847787,-0.00034324735,0.18176273,-0.98334242
56,1,0.98738085,0.16952467,-6.4274845,0.0054824347,0.0047939385,0.56591313,0.82446488
57,1,1.0289861,6.454801,-6.4308553,0.072852268,-0.0295763,-0.0010558324,0.99999944
58,1,0.95418023,7.1452653,-1.2225944,0.027227539,-0.0095458343,-0.98088657,-0.19458043
59,1,0.99040605,1.2447979,4.3669129,0.013031517,0.01517759,0.97164473,0.2364456
60,1,0.97943613,8.8846672,9.3209535,0.065036834,0.061608923,-0.32510097,0.94567931
61,1,0.95792436,0.12008814,5.8504868,0.014434494,-0.00036979559,-0.58178142,-0.81334518
62,1,0.98252151,-1.1651196,-3.0056729,-0.02588308,-0.00052020629,-0.25112648,-0.96795428
63,1,0.9755206,-5.052385,7.5197176,-0.045980872,0.042408286,0.97871504,-0.20522395
64,1,0.97317022,10.367656,4.7119099,0.017655946,0.033171564,0.9611845,0.27590644
